name	type	pos	apos	lpos	bran	outDia	thick	normal	interPos	p3Pos	outDia2	thick2	rest	mass	wvol	remark	Ispec	material
 =335563748/89948	FLAN	X 35800mm Y 5271mm Z 22568mm	X 35810mm Y 5271mm Z 22568mm	X 35800mm Y 5271mm Z 22568mm	T1D11I82B-EM151/B1	355.6	7.92	   0.000   0.000   1.000			0	0		14	35800+5031.2+22327.8+35824+5511.2+22807.8			STEEL
 =335563748/89948	TUBI	X 37659mm Y 5271mm Z 22568mm	X 35810mm Y 5271mm Z 22568mm	X 39507mm Y 5271mm Z 22568mm	T1D11I82B-EM151/B1	355.6	7.92	   0.000   0.000   1.000			0	0		0	35810+5093.4+22390+39507.4+5449+22745.6			STEEL
 =335580132/178417	ATTA	X 38170mm Y 5271mm Z 22568mm	X 38170mm Y 5271mm Z 22568mm	X 38170mm Y 5271mm Z 22568mm	T1D11I82B-EM151/B1	0	0				0	0			38102.5+5264.2+22260+38237.5+5278.2+22390			
 =335563748/89950	CAP	X 39507mm Y 5271mm Z 22568mm	X 39507mm Y 5271mm Z 22568mm	X 39507mm Y 5271mm Z 22568mm	T1D11I82B-EM151/B1	0	0				0	0			39487.4+5100.2+22390.8+39567.4+5442.2+22524			
 =335563748/257	UBOLT	X 36264mm Y 7480mm Z 22223mm	X 36264mm Y 7480mm Z 22223mm	X 36264mm Y 7480mm Z 22223mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	13		36255.7+7447.2+22195+36272.7+7512.8+22267			
 =335563748/86856	UBOLT	X 36450mm Y 8490mm Z 21900mm	X 36450mm Y 8490mm Z 21900mm	X 36450mm Y 8490mm Z 21900mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000  -1.000   0.000			0	0	12		36415+8457.2+21891.5+36478+8522.8+21908.5			
 =335563748/86857	UBOLT	X 36130mm Y 6415mm Z 21947mm	X 36130mm Y 6415mm Z 21947mm	X 36130mm Y 6415mm Z 21947mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   1.000   0.000			0	0	12		36108+6388.3+21938.5+36158+6441.9+21955.5			
 =335563748/86859	UBOLT	X 36130mm Y 6295mm Z 21947mm	X 36130mm Y 6295mm Z 21947mm	X 36130mm Y 6295mm Z 21947mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   1.000   0.000			0	0	12		36108+6268.3+21938.5+36158+6321.9+21955.5			
 =335563748/86935	UBOLT	X 36130mm Y 8480mm Z 21367mm	X 36130mm Y 8480mm Z 21367mm	X 36130mm Y 8480mm Z 21367mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	  -1.000   0.000   0.000			0	0	12		36103.2+8458+21358.5+36156.8+8508+21375.5			
 =335563748/86962	UBOLT	X 36130mm Y 8480mm Z 21947mm	X 36130mm Y 8480mm Z 21947mm	X 36130mm Y 8480mm Z 21947mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	  -1.000   0.000   0.000			0	0	12		36103.2+8458+21938.5+36156.8+8508+21955.5			
 =335563748/320850	UBOLT	X 36262mm Y 6500mm Z 22534mm	X 36262mm Y 6500mm Z 22534mm	X 36262mm Y 6500mm Z 22534mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36246.5+6335.7+22355.1+36276.5+6664.3+22691.1			
 =335563748/661090	UBOLT	X 36264mm Y 7139mm Z 22428mm	X 36264mm Y 7139mm Z 22428mm	X 36264mm Y 7139mm Z 22428mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36254.8+7082.1+22361.1+36273.8+7195.9+22480.1			
 =335563748/661091	UBOLT	X 36264mm Y 6934mm Z 22428mm	X 36264mm Y 6934mm Z 22428mm	X 36264mm Y 6934mm Z 22428mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36254.8+6877+22361.1+36273.8+6990.9+22480.1			
 =335563748/661333	UBOLT	X 36264mm Y 7630mm Z 22223mm	X 36264mm Y 7630mm Z 22223mm	X 36264mm Y 7630mm Z 22223mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	13		36255.7+7597.2+22195+36272.7+7662.8+22270			
 =335563748/662525	UBOLT	X 36657mm Y 6540mm Z 22240mm	X 36657mm Y 6540mm Z 22240mm	X 36657mm Y 6540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36627+6509.5+22230+36687+6569.5+22246			
 =335563748/662526	UBOLT	X 36477mm Y 6540mm Z 22240mm	X 36477mm Y 6540mm Z 22240mm	X 36477mm Y 6540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36447+6509.5+22230+36507+6569.5+22246			
 =335563748/662527	UBOLT	X 36477mm Y 6540mm Z 22171mm	X 36477mm Y 6540mm Z 22171mm	X 36477mm Y 6540mm Z 22171mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36400.4+6489.5+22101.3+36553.5+6589.5+22262.3			
 =335563748/662528	UBOLT	X 36657mm Y 6540mm Z 22177mm	X 36657mm Y 6540mm Z 22177mm	X 36657mm Y 6540mm Z 22177mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36586.4+6489.5+22113.3+36727.5+6589.5+22262.4			
 =335563748/704253	UBOLT	X 36264mm Y 6075mm Z 22534mm	X 36264mm Y 6075mm Z 22534mm	X 36264mm Y 6075mm Z 22534mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36249.2+5910.7+22354.7+36279.2+6239.3+22690.7			
 =335563748/1302430	UBOLT	X 36264mm Y 7310mm Z 22401mm	X 36264mm Y 7310mm Z 22401mm	X 36264mm Y 7310mm Z 22401mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36255.7+7283.2+22363.9+36272.7+7336.8+22422.9			
 =335563748/1302546	UBOLT	X 36555mm Y 6477mm Z 21990mm	X 36555mm Y 6477mm Z 21990mm	X 36555mm Y 6477mm Z 21990mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	23		36499.7+6466.1+21922.5+36610.6+6488+22040.5			
 =335563748/1302547	UBOLT	X 36756mm Y 6480mm Z 22011mm	X 36756mm Y 6480mm Z 22011mm	X 36756mm Y 6480mm Z 22011mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	23		36674.7+6468+21917.6+36836.4+6492+22085.6			
 =335563748/1302548	UBOLT	X 36756mm Y 6480mm Z 21943mm	X 36756mm Y 6480mm Z 21943mm	X 36756mm Y 6480mm Z 21943mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	23		36725.6+6450+21937.4+36785.6+6510+21953.5			
 =335563748/1302549	UBOLT	X 36555mm Y 6477mm Z 21943mm	X 36555mm Y 6477mm Z 21943mm	X 36555mm Y 6477mm Z 21943mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	23		36532.7+6454.5+21937.4+36577.7+6499.5+21953.5			
 =335563748/1302653	UBOLT	X 36130mm Y 6415mm Z 21367mm	X 36130mm Y 6415mm Z 21367mm	X 36130mm Y 6415mm Z 21367mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   1.000   0.000			0	0	12		36108+6388.3+21358.5+36158+6441.9+21375.5			
 =335563748/1302654	UBOLT	X 36130mm Y 6295mm Z 21367mm	X 36130mm Y 6295mm Z 21367mm	X 36130mm Y 6295mm Z 21367mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   1.000   0.000			0	0	12		36108+6268.3+21358.5+36158+6321.9+21375.5			
 =335563748/1302660	UBOLT	X 36130mm Y 7060mm Z 22412mm	X 36130mm Y 7060mm Z 22412mm	X 36130mm Y 7060mm Z 22412mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   1.000   0.000   0.000			0	0	12		36103.2+7032+22404+36156.8+7082+22421			
 =335563748/1302661	UBOLT	X 36756mm Y 6721mm Z 21057mm	X 36756mm Y 6721mm Z 21057mm	X 36756mm Y 6721mm Z 21057mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   1.000   0.000   0.000			0	0	12		36674.7+6627.6+21045.5+36836.4+6795.6+21069.5			
 =335563748/1302662	UBOLT	X 36555mm Y 6700mm Z 21054mm	X 36555mm Y 6700mm Z 21054mm	X 36555mm Y 6700mm Z 21054mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   1.000   0.000   0.000			0	0	12		36499.7+6632.5+21043.5+36610.6+6750.5+21065.4			
 =335563748/1302663	UBOLT	X 36555mm Y 6653mm Z 21054mm	X 36555mm Y 6653mm Z 21054mm	X 36555mm Y 6653mm Z 21054mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   1.000   0.000   0.000			0	0	12		36532.7+6647.5+21032+36577.7+6663.5+21077			
 =335563748/1302664	UBOLT	X 36756mm Y 6653mm Z 21057mm	X 36756mm Y 6653mm Z 21057mm	X 36756mm Y 6653mm Z 21057mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   1.000   0.000   0.000			0	0	12		36725.6+6647.5+21027.5+36785.6+6663.5+21087.5			
 =335563748/1302802	UBOLT	X 36450mm Y 8490mm Z 20600mm	X 36450mm Y 8490mm Z 20600mm	X 36450mm Y 8490mm Z 20600mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000  -1.000   0.000			0	0	12		36415+8457.2+20591.5+36478+8522.8+20608.5			
 =335563748/1619263	UBOLT	X 36264mm Y 8492mm Z 22210mm	X 36264mm Y 8492mm Z 22210mm	X 36264mm Y 8492mm Z 22210mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	13		36255.7+8445.7+22167.7+36272.7+8539.3+22260.7			
 =335563748/1619264	UBOLT	X 36264mm Y 8312mm Z 22192mm	X 36264mm Y 8312mm Z 22192mm	X 36264mm Y 8312mm Z 22192mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	13		36254.8+8249.5+22134.5+36273.8+8375.4+22263.4			
 =335563748/1619266	UBOLT	X 36264mm Y 8137mm Z 22213mm	X 36264mm Y 8137mm Z 22213mm	X 36264mm Y 8137mm Z 22213mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	13		36255.7+8096.6+22176.7+36272.8+8178.2+22260.7			
 =335571940/366096	UBOLT	X 36264mm Y 8605mm Z 22603mm	X 36264mm Y 8605mm Z 22603mm	X 36264mm Y 8605mm Z 22603mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000   1.000			0	0	13		36246.2+8365.2+22351.2+36282.3+8844.8+22834.2			
 =335571940/405893	UBOLT	X 36477mm Y 5540mm Z 22240mm	X 36477mm Y 5540mm Z 22240mm	X 36477mm Y 5540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36447+5509.5+22230+36507+5569.5+22246			
 =335571940/405894	UBOLT	X 36657mm Y 5540mm Z 22240mm	X 36657mm Y 5540mm Z 22240mm	X 36657mm Y 5540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36627+5509.5+22230+36687+5569.5+22246			
 =335571940/405895	UBOLT	X 36657mm Y 5540mm Z 22177mm	X 36657mm Y 5540mm Z 22177mm	X 36657mm Y 5540mm Z 22177mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36586.4+5489.5+22113.3+36727.5+5589.5+22262.4			
 =335571940/405896	UBOLT	X 36477mm Y 5540mm Z 22171mm	X 36477mm Y 5540mm Z 22171mm	X 36477mm Y 5540mm Z 22171mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36400.4+5489.5+22101.3+36553.5+5589.5+22262.3			
 =335571940/405897	UBOLT	X 36477mm Y 4540mm Z 22240mm	X 36477mm Y 4540mm Z 22240mm	X 36477mm Y 4540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36447+4509.5+22230+36507+4569.5+22246			
 =335571940/405898	UBOLT	X 36657mm Y 4540mm Z 22240mm	X 36657mm Y 4540mm Z 22240mm	X 36657mm Y 4540mm Z 22240mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36627+4509.5+22230+36687+4569.5+22246			
 =335571940/405899	UBOLT	X 36657mm Y 4540mm Z 22177mm	X 36657mm Y 4540mm Z 22177mm	X 36657mm Y 4540mm Z 22177mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36586.4+4489.5+22113.3+36727.5+4589.5+22262.4			
 =335571940/405900	UBOLT	X 36477mm Y 4540mm Z 22171mm	X 36477mm Y 4540mm Z 22171mm	X 36477mm Y 4540mm Z 22171mm	FRMWORK 1 of STRUCTURE /T1D11I82B_M_101	0	0	   0.000   0.000  -1.000			0	0	23		36400.4+4489.5+22101.3+36553.5+4589.5+22262.3			
